,time,open,high,low,close,tick_volume,spread,real_volume
188,2021-07-06,1791.27,1814.97,1790.11,1797.05,88151,0,0
189,2021-07-07,1796.31,1809.72,1793.85,1803.59,83421,0,0
190,2021-07-08,1803.68,1818.33,1793.83,1802.35,105013,0,0
191,2021-07-09,1802.94,1812.33,1796.38,1808.04,77370,0,0
192,2021-07-12,1807.97,1810.82,1791.65,1806.17,66869,0,0
193,2021-07-13,1806.26,1817.14,1798.6,1807.14,78097,0,0
194,2021-07-14,1807.95,1829.73,1804.55,1827.99,80677,0,0
195,2021-07-15,1827.44,1834.07,1820.22,1829.45,76139,0,0
196,2021-07-16,1829.87,1832.0,1808.96,1811.51,90910,0,0
197,2021-07-19,1811.29,1817.27,1794.98,1812.61,117655,5,0
198,2021-07-20,1812.65,1824.92,1805.1,1810.24,103742,5,0
199,2021-07-21,1810.4,1813.74,1794.68,1803.42,94121,5,0
200,2021-07-22,1803.83,1808.04,1792.74,1806.42,92708,5,0
201,2021-07-23,1806.98,1810.3,1789.63,1801.93,83504,5,0
202,2021-07-26,1802.26,1811.46,1796.38,1797.65,90431,5,0
203,2021-07-27,1797.99,1805.22,1793.6,1798.47,88456,5,0
204,2021-07-28,1800.52,1809.82,1792.36,1807.11,91748,5,0
205,2021-07-29,1807.34,1832.62,1807.22,1827.79,89520,5,0
206,2021-07-30,1828.79,1831.34,1810.2,1814.28,81091,5,0
207,2021-08-02,1814.6,1819.51,1805.78,1813.11,88661,5,0
208,2021-08-03,1813.49,1814.99,1807.12,1810.12,71014,5,0
209,2021-08-04,1810.26,1831.65,1806.4,1811.6,81473,5,0
210,2021-08-05,1812.03,1814.81,1797.83,1803.73,76504,5,0
211,2021-08-06,1804.65,1804.72,1758.65,1763.18,90320,5,0
212,2021-08-09,1761.08,1762.27,1683.2,1729.58,123735,5,0
213,2021-08-10,1728.91,1738.27,1717.71,1728.74,88755,5,0
214,2021-08-11,1729.71,1754.37,1724.08,1751.5,91167,5,0
215,2021-08-12,1751.32,1758.15,1741.58,1752.86,77872,5,0
216,2021-08-13,1753.17,1779.79,1751.69,1779.7,73095,5,0
217,2021-08-16,1779.08,1789.28,1770.8,1787.24,84258,5,0
218,2021-08-17,1787.22,1795.46,1780.53,1785.8,84021,5,0
219,2021-08-18,1786.3,1793.75,1777.32,1787.68,84606,5,0
220,2021-08-19,1787.37,1792.44,1774.41,1780.0,95481,5,0
221,2021-08-20,1780.14,1788.37,1778.33,1780.94,74472,5,0
222,2021-08-23,1781.52,1806.42,1776.44,1805.18,81054,5,0
223,2021-08-24,1805.41,1809.51,1800.7,1802.83,68351,5,0
224,2021-08-25,1802.42,1802.78,1782.57,1790.33,71904,5,0
225,2021-08-26,1791.03,1798.12,1780.07,1791.69,66655,5,0
226,2021-08-27,1792.42,1819.09,1784.01,1817.85,73792,5,0
227,2021-08-30,1818.18,1823.24,1807.76,1810.13,51256,5,0
228,2021-08-31,1810.0,1819.15,1801.71,1814.26,69797,5,0
229,2021-09-01,1814.47,1820.03,1808.72,1813.77,66557,5,0
230,2021-09-02,1813.97,1817.15,1804.86,1809.55,48158,5,0
231,2021-09-03,1809.49,1833.95,1808.94,1827.59,64900,5,0
232,2021-09-06,1828.29,1830.24,1821.42,1823.14,30435,5,0
233,2021-09-07,1823.53,1827.22,1792.04,1793.92,65120,5,0
234,2021-09-08,1795.12,1802.11,1782.43,1789.29,69657,5,0
235,2021-09-09,1789.54,1800.9,1783.86,1794.36,69299,5,0
236,2021-09-10,1793.87,1803.77,1787.24,1787.81,64121,5,0
237,2021-09-13,1787.35,1798.43,1783.64,1793.37,53287,5,0
238,2021-09-14,1793.38,1808.58,1779.6,1804.69,68253,5,0
